Lifter,Birth Year,Team,Body Weight,Best Squat,Best Bench,Best Deadlift,Total,Year,Sex,Division
Dovganyuk Vadym,1987,UKR,104.92,402.5,323,325,1050.5,2013,M,Open
Jonsson Audunn,1972,ISL,138.83,412.5,275,362.5,1050,2012,M,Open
Hristov Ivaylo,1979,BUL,118.31,405,305,340,1050,2012,M,Open
Bychkov Oleksiy,1985,UKR,111.8,385,300,365,1050,2014,M,Open
Dovganyuk Vadym,1987,UKR,104.16,410,320,320,1050,2014,M,Open
Svensson Fredrik,1979,SWE,147.3,372.5,355,322.5,1050,2013,M,Open
Coimbra Anibal,1972,LUX,104.39,400,260,387.5,1047.5,2012,M,Open
Lebedko Konstantin,1981,RUS,104.74,400,295,352.5,1047.5,2012,M,Open
Bowring Dean,1974,GBR,119.52,395,297.5,352.5,1045,2014,M,Open
Belkin Yury,1990,RUS,102.78,405,280,357.5,1042.5,2014,M,Open
Grabowski Daniel,1986,POL,118.94,415,275,350,1040,2014,M,Open
Lebedko Konstantin,1981,RUS,103.62,405,285,347.5,1037.5,2013,M,Open
Semenenko Dmytro,1988,UKR,104.69,415.5,275,345,1035.5,2015,M,Open
Dovganyuk Vadym,1987,UKR,104.42,410,315,310,1035,2012,M,Open
Svensson Fredrik,1979,SWE,150.9,370,360,305,1035,2014,M,Open
Karpov Valeriy,1984,UKR,118.92,405,295,332.5,1032.5,2012,M,Open
Lebedko Konstantin,1981,RUS,104.14,395,290,347.5,1032.5,2014,M,Open
Cliffe Tony,1984,GBR,118.93,390,292.5,350,1032.5,2015,M,Open
Coimbra Anibal,1972,LUX,102.95,400,265,365,1030,2013,M,Open
Lupac David,1991,CZE,138.2,425,282.5,322.5,1030,2013,M,Open
Yeshmakhanov Nurlan,1990,KAZ,112.68,400,280,350,1030,2014,M,Open
Walgermo Stian,1988,NOR,104.54,390,290,350,1030,2015,M,Open
Bowring Dean,1974,GBR,119.96,400,277.5,350,1027.5,2013,M,Open
Weite Nicholas,1979,USA,118.54,395,265,365,1025,2014,M,Open
Bilican Orhan,1978,BEL,119.05,425,300,300,1025,2013,M,Open
Bilyi Sergii,1990,UKR,92.15,387.5,285,350,1022.5,2015,M,Open
Omland Tor Herman,1977,NOR,117.89,397.5,295,327.5,1020,2012,M,Open
Inzarkin Dmitry,1987,RUS,92.06,380,287.5,350,1017.5,2015,M,Open
Soukal Jaroslav,1972,CZE,166.25,385,345,285,1015,2015,M,Open
Hansen Jorgen,1986,NOR,119.52,402.5,267.5,342.5,1012.5,2012,M,Open
Belkesir Sofiane,1984,FRA,104.7,385,267.5,360,1012.5,2015,M,Open
Koch Kevin,1979,GER,160.8,370,352.5,290,1012.5,2015,M,Open
Hassanin Ahmed,1985,EGY,179.9,455,250,300,1005,2013,M,Open
Hjelmtveit Andreas,1983,NOR,110.95,395,235,375,1005,2015,M,Open
Inzarkin Dmitry,1987,RUS,91.7,372.5,287.5,340,1000,2014,M,Open
Fossdal Sigfus,1983,ISL,169.7,360,330,310,1000,2014,M,Open
Walgermo Stian,1988,NOR,104.38,375,272.5,350,997.5,2014,M,Open
Bulanyy Mikhaylo,1975,UKR,92.42,380,257.5,355,992.5,2014,M,Open
Bilyi Sergii,1990,UKR,92.6,377.5,275,337.5,990,2014,M,Open
Hansen Jorgen,1986,NOR,118.82,395,265,327.5,987.5,2014,M,Open
Belkesir Sofiane,1984,FRA,104.48,365,262.5,360,987.5,2014,M,Open
Kondraschow Jewgenij,1983,GER,144.65,375,265,345,985,2012,M,Open
Mann Steve,1975,USA,119.74,392.5,287.5,305,985,2012,M,Open
Stinn Ryan,1981,CAN,134.2,372.5,275,337.5,985,2014,M,Open
Mann Steve,1975,USA,119.55,390,295,300,985,2013,M,Open
Schouten William,1975,ISV,137.06,422.5,240,320,982.5,2012,M,Open
Hansen Jorgen,1986,NOR,114.26,390,255,337.5,982.5,2013,M,Open
Bulanyy Mikhaylo,1975,UKR,92.65,372.5,260,350,982.5,2013,M,Open
Kuvambayev Zalim,1986,KAZ,103.65,380,277.5,325,982.5,2015,M,Open
Martikainen Jari,1975,FIN,144.65,375,250,355,980,2015,M,Open
Bilyi Sergii,1990,UKR,92.4,365,277.5,337.5,980,2013,M,Open
Kondraschow Jewgenij,1983,GER,143.3,362.5,277.5,340,980,2015,M,Open
Snijders Jordy,1986,NED,119.1,355,310,310,975,2015,M,Open
Bulanyy Mikhaylo,1975,UKR,92.59,370,260,342.5,972.5,2015,M,Open
Nieves Lazaro,1977,PUR,130.4,357.5,277.5,335,970,2014,M,Open
Eikeland Kristoffer,1989,NOR,104.02,350,282.5,337.5,970,2014,M,Open
Macdonald John,1983,CAN,118.68,370,280,315,965,2014,M,Open
Ovsonka Peter,1982,SVK,118.84,390,247.5,325,962.5,2014,M,Open
Walgermo Stian,1988,NOR,104.38,375,262.5,325,962.5,2013,M,Open
Jonsson Audunn,1972,ISL,119.82,365,260,337.5,962.5,2014,M,Open
Bulanyy Mikhaylo,1975,UKR,92.92,377.5,245,337.5,960,2012,M,Open
Eikeland Kristoffer,1989,NOR,104.49,352.5,285,322.5,960,2015,M,Open
Conner Charles,1989,USA,102.45,372.5,305,282.5,960,2015,M,Open
Meyer Quintin,1991,USA,118.26,370,272.5,315,957.5,2015,M,Open
Castillo Jose,1986,ECU,82.54,377.5,247.5,330,955,2014,M,Open
Mashintcov Sergey,1987,RUS,92.82,372.5,247.5,335,955,2013,M,Open
Rivera Carlos,1982,PUR,118.62,375,272.5,307.5,955,2014,M,Open
Bell Ian,1992,USA,91.88,372.5,210,370,952.5,2014,M,Open
Coimbra David,1983,BRA,91.94,360,242.5,350,952.5,2014,M,Open
Ringoot Steve,1989,BEL,133.7,370,260,320,950,2015,M,Open
Mashintcov Sergey,1987,RUS,92.72,365,260,325,950,2014,M,Open
Kondraschow Jewgenij,1983,GER,140.26,350,267.5,332.5,950,2014,M,Open
Van den Hoek Pjotr,1972,NED,103.38,355,287.5,307.5,950,2015,M,Open
Bilyi Sergii,1990,UKR,92.52,362.5,260,322.5,945,2012,M,Open
Sarafimov Zdravko,1984,BUL,92.66,352.5,255,337.5,945,2012,M,Open
Bakkelund Kjell Egil,1988,NOR,82.58,352.5,252.5,337.5,942.5,2013,M,Open
Wegiera Jan,1965,POL,91.48,360,290,292.5,942.5,2014,M,Open
Ube Joe,1982,ECU,141,405,260,275,940,2013,M,Open
Souza Eumenes,1972,BRA,151.52,385,260,295,940,2014,M,Open
Mencias Jose,1987,VEN,103.93,355,252.5,332.5,940,2012,M,Open
Coimbra David,1983,BRA,92.15,337.5,250,352.5,940,2015,M,Open
Naniev Andriy,1984,UKR,82.58,357.5,265,317.5,940,2015,M,Open
Hjelmtveit Andreas,1983,NOR,107.42,360,217.5,360,937.5,2014,M,Open
Rysiyev Volodymyr,1982,UKR,82.66,347.5,257.5,332.5,937.5,2015,M,Open
Eikeland Kristoffer,1989,NOR,103.69,332.5,275,330,937.5,2013,M,Open
Silbaum Margus,1976,EST,93,350,235,350,935,2015,M,Open
Harsany Tomas,1982,SVK,104.03,350,240,345,935,2015,M,Open
Sahota Ranbir,1983,GBR,125.08,380,222.5,327.5,930,2015,M,Open
Singh-Sahota Rangbir,1983,GBR,123.8,380,217.5,330,927.5,2013,M,Open
Walgermo Stian,1988,NOR,104.23,365,242.5,320,927.5,2012,M,Open
Harsany Tomas,1982,SVK,104.27,350,247.5,330,927.5,2013,M,Open
Stendebach Sascha,1991,GER,92,337.5,255,335,927.5,2015,M,Open
Vasyukov Eugeniy,1985,RUS,82.68,360,245,320,925,2012,M,Open
Yarullin Ruslan,1982,KAZ,92.54,342.5,252.5,330,925,2014,M,Open
Wegiera Jan,1965,POL,92.92,340,295,290,925,2015,M,Open
Sorokin Alexey,1985,RUS,82.37,375,240,307.5,922.5,2015,M,Open
Rysiyev Volodymyr,1982,UKR,82.7,357.5,245,320,922.5,2013,M,Open
Hamson John,1990,GBR,104.76,350,245,327.5,922.5,2014,M,Open
Pullinen Sami,1983,FIN,119.9,340,285,295,920,2012,M,Open
Coimbra David,1983,BRA,92.55,355,235,327.5,917.5,2013,M,Open
Palmer Robert,1982,GBR,91.83,362.5,262.5,292.5,917.5,2015,M,Open
Rysiyev Volodymyr,1982,UKR,82.98,345,250,322.5,917.5,2014,M,Open
Turesson Patrik,1974,SWE,92.44,362.5,232.5,320,915,2012,M,Open
Silbaum Margus,1976,EST,92.9,355,230,330,915,2013,M,Open
Joskowski Jan,1991,POL,104.2,340,230,345,915,2015,M,Open
Naniev Andriy,1984,UKR,82.32,360,247.5,307.5,915,2012,M,Open
Lange Martin,1987,GER,104.23,357.5,252.5,305,915,2015,M,Open
Ringoot Steve,1989,BEL,135.2,357.5,252.5,305,915,2014,M,Open
Kristiansen Mathias,1985,DEN,119.64,362.5,257.5,295,915,2014,M,Open
Stinn Ryan,1981,CAN,132.7,357.5,272.5,285,915,2013,M,Open
Wegiera Jan,1965,POL,89.96,345,290,280,915,2013,M,Open
Kasparek Gernot,1975,AUT,119.38,330,300,285,915,2015,M,Open
Ovsonka Peter,1982,SVK,104.36,372.5,227.5,312.5,912.5,2013,M,Open
Johnson Gregory,1990,USA,99.14,357.5,220,335,912.5,2015,M,Open
Sarik Tomas,1975,CZE,104.93,345,232.5,335,912.5,2012,M,Open
Rivera Carlos,1982,PUR,119.2,355,257.5,300,912.5,2013,M,Open
Akutsu Takahito,1982,JPN,102.69,340,270,302.5,912.5,2015,M,Open
Rysiyev Volodymyr,1982,UKR,82.33,357.5,235,317.5,910,2012,M,Open
Harsany Tomas,1982,SVK,104.42,345,230,335,910,2012,M,Open
Porras Marco,1982,MEX,114.45,360,250,300,910,2014,M,Open
Wegiera Jan,1965,POL,92.36,340,300,270,910,2012,M,Open
Naniev Andriy,1984,UKR,82.7,345,260.5,302.5,908,2013,M,Open
Rivera Carlos,1982,PUR,118.56,350,245,312.5,907.5,2012,M,Open
Banks Benjamin,1984,GBR,117.11,320,260,327.5,907.5,2012,M,Open
Krejca Zbynek,1974,CZE,119.33,330,297.5,280,907.5,2013,M,Open
Olech Jaroslaw,1974,POL,73.32,367.5,217.5,320,905,2013,M,Open
Ahmed Fahmy,1989,EGY,118.95,350,220,335,905,2013,M,Open
Porras Marco,1982,MEX,114.75,360,235,310,905,2012,M,Open
Sahota Ranbir,1983,GBR,119.68,350,230,325,905,2014,M,Open
Souza Eumenes,1972,BRA,155.6,365,260,280,905,2013,M,Open
Kristensen Mathias,1985,DEN,119.66,340,250,315,905,2013,M,Open
Naniev Andriy,1984,UKR,82.4,335,260,310,905,2014,M,Open
Castillo Jose,1986,ECU,83,350,230,322.5,902.5,2012,M,Open
Sorokin Alexey,1985,RUS,82.83,365,225,310,900,2012,M,Open
Bakkelund Kjell Egil,1988,NOR,82,342.5,245,312.5,900,2012,M,Open
Anuar Ulan,1993,KAZ,82.48,330,240,330,900,2014,M,Open
Van Heesvelde Jeroen,1990,BEL,104.45,335,252.5,312.5,900,2015,M,Open
Wollan Endre,1989,NOR,105.32,330,260,310,900,2013,M,Open
Van den Hoek Pjotr,1972,NED,92.67,335,265,300,900,2013,M,Open
Snijders Jordy,1986,NED,119.63,335,270,295,900,2013,M,Open
Krejca Zbynek,1974,CZE,118.86,340,275,285,900,2012,M,Open
Bast Jan,1977,GER,92.58,327.5,265,307.5,900,2014,M,Open
Douglas Paul,1989,USA,82.56,355,220,322.5,897.5,2015,M,Open
Souza Eumenes,1972,BRA,152.9,372.5,240,285,897.5,2015,M,Open
Ovsonka Peter,1982,SVK,104.45,370,220,305,895,2012,M,Open
Castillo Jose,1986,ECU,82.9,360,227.5,307.5,895,2013,M,Open
Lange Martin,1987,GER,104.34,347.5,230,317.5,895,2014,M,Open
Palmer Robert,1982,GBR,90.5,340,255,300,895,2013,M,Open
Bak Sune,1974,DEN,104.3,330,250,312.5,892.5,2012,M,Open
Bast Jan,1977,GER,92.85,327.5,260,305,892.5,2013,M,Open
Petkov Rostislav,1988,BUL,73.54,322.5,241,327.5,891,2012,M,Open
Fowler Ryan,1982,CAN,135.1,340,250,300,890,2014,M,Open
Bak Sune,1974,DEN,104.27,325,252.5,312.5,890,2013,M,Open
Stinn Ryan,1981,CAN,131.96,327.5,267.5,295,890,2012,M,Open
Conner Charles,1989,USA,92.5,330,280,280,890,2013,M,Open
Macdonald John,1983,CAN,104.96,340,225,322.5,887.5,2012,M,Open
Huber Alexander,1990,AUT,89.7,345,240,302.5,887.5,2014,M,Open
Nieves Lazaro,1977,PUR,125.2,337.5,240,310,887.5,2013,M,Open
Bast Jan,1977,GER,92.26,325,265,297.5,887.5,2012,M,Open
Sorokin Alexey,1985,RUS,82.68,362.5,232.5,290,885,2013,M,Open
Olech Jaroslaw,1974,POL,73.32,360,212.5,310,882.5,2014,M,Open
Olech Jaroslaw,1974,POL,72.85,360,212.5,310,882.5,2015,M,Open
Souza Eumenes,1972,BRA,141.09,350,240,290,880,2012,M,Open
Akutsu Takahito,1982,JPN,102.14,330,260,290,880,2013,M,Open
Olech Jaroslaw,1974,POL,72.99,355,210,310,875,2012,M,Open
Ricks David,1959,USA,91.63,345,225,305,875,2012,M,Open
Maatta Tomi,1982,FIN,104.55,350,235,290,875,2015,M,Open
Schollbach Mike,1981,GER,100.55,345,237.5,292.5,875,2015,M,Open
Jaimes Luis,1989,USA,104.66,330,265,280,875,2012,M,Open
Nieves Lazaro,1977,PUR,126.98,317.5,235,317.5,870,2012,M,Open
Akutsu Takahito,1982,JPN,101.37,325,245,300,870,2012,M,Open
Bataa Chimedtseren,1981,MGL,119.47,300,317.5,250,867.5,2015,M,Open
Gaishinetc Sergei,1986,RUS,72.9,340,202.5,322.5,865,2015,M,Open
Leberwurst Franz,1969,AUT,113.45,345,210,310,865,2012,M,Open
Collart Jean-Luc,1959,BEL,118.95,350,220,295,865,2012,M,Open
Campos Murillo Carlos Ma,1979,CRC,125.94,335,220,310,865,2012,M,Open
Ringoot Steve,1989,BEL,135.4,345,250,270,865,2013,M,Open
Kirketeig Alexander,1979,NOR,92.65,330,255,280,865,2015,M,Open
Hentschel Andre,1984,GER,92.52,322.5,250,292.5,865,2013,M,Open
Coimbra David,1983,BRA,91.59,335,207.5,320,862.5,2012,M,Open
Smith Johan,1991,RSA,104.7,337.5,225,300,862.5,2012,M,Open
Schollbach Mike,1981,GER,97.32,335,232.5,295,862.5,2014,M,Open
Jandorek Andreas,1985,AUT,92.58,322.5,237.5,302.5,862.5,2014,M,Open
Kubo Kyohei,1987,JPN,93,340,270,252.5,862.5,2015,M,Open
Derstine Maliek,1988,USA,82.32,320,255,285,860,2014,M,Open
Palmer Robert,1982,GBR,82.87,332.5,230,295,857.5,2012,M,Open
Duarte Luciano,1975,BRA,101.56,350,220,285,855,2014,M,Open
Hall Scott,1978,AUS,139.46,340,215,300,855,2015,M,Open
Akutsu Takahito,1982,JPN,102.02,315,255,285,855,2014,M,Open
Glueck Markus,1990,AUT,104.39,342.5,232.5,277.5,852.5,2015,M,Open
Kabisch Sascha,1988,GER,119.05,290,247.5,315,852.5,2013,M,Open
Douglas Knute,1989,USA,82.91,340,190,320,850,2012,M,Open
Vasilev Todor,1978,BUL,82.53,325,200,325,850,2012,M,Open
Morgan Randolph,1978,GUY,82.07,300,220,330,850,2012,M,Open
Ahmed Mohamed,1985,EGY,117.14,300,240,310,850,2013,M,Open
Horiguchi Yosuke,1993,JPN,92.39,300,280,270,850,2015,M,Open
Banks Benjamin,1984,GBR,112.25,290,252.5,305,847.5,2013,M,Open
Nascimento Claudemiro,1970,BRA,119.14,355,190,300,845,2014,M,Open
Salgado Romel,1989,ECU,114.62,345,222.5,275,842.5,2014,M,Open
Gaishinetc Sergei,1986,RUS,73.16,310,207.5,325,842.5,2014,M,Open
Arakawa Takayuki,1978,JPN,90.4,305,240,295,840,2014,M,Open
Burgos Ramon,1987,PUR,92.8,320,180,337.5,837.5,2012,M,Open
Varchola Pavol,1978,SVK,92.83,325,200,312.5,837.5,2012,M,Open
Garcia Gabriel,1975,MEX,91.28,320,237.5,280,837.5,2014,M,Open
Silva Marcelo,1984,BRA,82.7,310,252.5,275,837.5,2014,M,Open
Grenier Allan,1990,FRA,92.99,315,240,280,835,2015,M,Open
Barannik Mykola,1989,UKR,73.73,325,230,277.5,832.5,2015,M,Open
Rook Niels,1988,NED,138.29,325,215,290,830,2012,M,Open
Jaimes Luis,1989,USA,92.49,305,245,280,830,2013,M,Open
Derstine Maliek,1988,USA,73.72,310,222.5,295,827.5,2012,M,Open
Arakawa Takayuki,1978,JPN,89.6,307.5,230,290,827.5,2013,M,Open
Nielsen Henrik,1984,DEN,92.2,330,212.5,282.5,825,2012,M,Open
